service group,department,organisation,staff group,metric,month
Corporate Support Services,Dir of Quality & Involvement,Patient & Family Centred Care 00201,Administrative and Clerical,Hires,6
CYP & Families Services,Women's Services,Obs & Gynae Admin Support MPH 49020,Administrative and Clerical,Leavers,6
Corporate Support Services,Estates and Facilities - SFT,Crewkerne Hotel Services 21562,Estates and Ancillary,Hires,6
Corporate Support Services,Estates and Facilities - SFT,Security Team - MPH 04251,Estates and Ancillary,Hires,6
SSL Corporate,SSL Facilities Hard FM Level 5,SSL Maintenance S75368,Estates and Ancillary,Hires,6
Clinical Support and Cancer Services,Therapies DEPT,Outpatient Therapists 75841,Administrative and Clerical,Hires,6
Clinical Support and Cancer Services,Pharmacy DEPT,Pharmacy Staff 37000,Administrative and Clerical,Leavers,6
Medical Services,Emergency Care DEPT,A And E Receptionists 20001,Administrative and Clerical,Hires,6
Surgical Services,Other Surgery,Surgery Management 11001,Administrative and Clerical,Hires,6
Surgical Services,Other Surgery,Surgery Management 11001,Administrative and Clerical,Leavers,6
CYP & Families Services,Sexual Health Services,Somerset-Wide Integrated Sexual Health 42060,Nursing and Midwifery Registered,Leavers,6
Surgical Services,Critical Care,ICU YDH 75822,Nursing and Midwifery Registered,Hires,6
